"sentiment","text"
"neutral"," die x bkk kan"
"positive","ne wat schn sieht nach einem sieg aus "
"negative","peinlich hoch "
"neutral"," minute torschtze davie selke wird ausgewechselt die deutsche u fhrt aktuell gegen griechenland  werder"
"neutral","kleinster usb speicherstick der welt  sandisk cruzer fit mit gb fr "
"neutral","re brasilien das teuerste land der welt  "
"negative","wo kommt diese beklemmende traurigkeit schon wieder her  "
"neutral","uwm sterreich verliert gegen argentinen mit "
"neutral"," ja was sonst noch  "
"neutral"," und das auf eine solche frage keine antwort kommt sollte klar sein "
"neutral","erotikkleinanzeigen hobbyhuren sie sucht tg neu    natur geile wienerin hallo liebe "
"positive"," punkte gegen euch sehr nice    "
"neutral","  job  stellenangebot audi ag praktikum dichtheit eine groe herausforderung fr mechatroniken"
"neutral","salede  bling strass series d kristall diamant blau schmetterling elfen nachtelf hlle tasche case fr "
"neutral"," ach wo bitteschn gibts noch automaten  kiosk mit mitteilsamen verkufer sagen wir mal so neugierig "
"neutral","marburgbiedenkopf einbrecher im kindergarten einbrecher suchte bargeld trekkingrad gestohlen "
"negative","was macht gtze eigentlich so hab gar nichts mitgekriegt spielt der auch weider fussball   sarkasmus"
"neutral","sollen  staaten schuldenfrei sein bzw  schulden zurckzahlen  x nein schreibt smldozent tilman slembeck im blog "
"neutral","kung fu movie in mins  "
"positive"," sicher aber nicht um zwlfe bei der nacht "
"neutral","  reduziert  nikon fernauslser mcdc "
"positive","happy birthday bruce dickinson  natrlich gibts heute was von iron maiden in den rock classics zu "
"neutral"," um d gerchtekche vor  orfwahl spindelegger vs stronach anzuheizen was macht bei d vp   teaser "
"neutral"," also stabil nicht leicht zerbrechlich stark  "
"neutral","jetzt stream anschauen und mitdiskutieren wie pdagogen  facebook nicht nutzen knnen  mitmachnetz  socialmedia"
"positive"," kannte ich noch nicht hammer "
"neutral","ehrlichkeit verschafft dir wahrscheinlich nicht viele freunde aber dafr richtige  "
"negative"," mutig wre er wenn er sein maul aufmachen wrde wird er aber nich  versager"
"positive"," mach ich doch gern schatzi oh gott und was war mi nochmal  "
"neutral","u dfbtv bertrgt spiel gegen polen live "
"negative"," aber wohne dort nicht mehr "
"positive"," danke schn jetzt is aber schluss mit lustig weil ich ins krbchen muss der wecker klingelt um halb schlaf schn "
"negative"," immer versuchst du mich zu therapieren  und was macht das mit dir  orrr  "
"negative","nicht gut  lt"
"negative"," fiedler cdu bezeichnet snowden als verrter ich mag solche leute nicht der will nur geld machen unglaublich  plen"
"neutral","kindle stuff riesigen titten und riesigen arsch vol german edition kindle edition newly tagged kind "
"positive"," schn nicht  "
"neutral","uh das sagt was sollte man ber dich wissen  "
"positive"," seine tweets haben zu einfach keinen sinn "
"neutral","gold sicher kaufen barren und mnzen aus feingold ampamp silber via "
"neutral"," was ist das fr eine glaubwrdigkeit wenn wir sagen wir sind keine verbotspartei und gleichzeitig verbote fordern "
"positive","einmal wieder klein sein mit der coolsten  forever young "
"neutral","kroatien seahelp rettet schwerverletzte "
"neutral"," not away eintracht frankfurt display against maccabi tel aviv tonight "
"neutral","diebe im haus falkensee schmuck gestohlen landkreis havelland mehrere wildunflle l  havelland"
"positive","streaming    ich fand steinbrck berraschend stark aber beide kennen sich halt gut aus und wirkten sicher imo "
"positive","ungeliebte arbeiten am besten gleich erledigen tschss tschss"
"positive","guten nacth schatzi"
"neutral"," ich kenne nur leute die assad mehr frchten davon ab siehe meine einlassungen zu rebellen earlier siehe pdf datei "
"neutral","nehra a vs many a many a gewinnt den kampf glckwunsch  "
"positive"," en guete  gsehnd fein uus chume grad hunger ber  "
"positive"," angels take manhattan war einfach nur gutwrenching moffaaaat    doctorwho"
"positive"," isch halt eifach bequemer so "
"neutral"," da rumors r true "
"neutral","bernachtungen im scotine sterne onlinebuchung mindestens angeln haus separates personen baby "
"neutral","  protschka  inflationsrate erreicht kritischen  punkt  afd  btw  kaufkraft  kartoffelpreise "
"neutral","merle singt was aus high school musical sarah filmt fri verschluckt sich vor lachen an ihrer cola "
"neutral","regierung beschliet hilfe fr menschen mit seltenen krankheiten spiegel online"
"neutral"," psch bleib ruhig in arm nehm"
"neutral","wahrheit bestes versteck "
"neutral","basketball bv fehlen fnf punkte zum glck "
"neutral"," interview rotgrn kaum fr prism verantwortlich  bnd  nsa  snowden"
"neutral"," oh ja das blht mir im winter auch wieder muss auch schottentor raus "
"negative","eingekesselte polizisten nix gut o"
"neutral"," anregungen fr ihren kindle keyboard "
"positive","blendend schn und imposant dieses steil am hang gebaute danhaus "
"positive"," grnrot als rotgrn secondbest dann grnschwarz dann aber ja wir kmpfen die whlerinnen entscheiden  btw"
"neutral","nsaskandal private telekomanbieter helfen spionieren telekommunikationsfirmen untersttzen laut "
"negative"," halflife cinematic mod  die tdliche falle an gate auf gronkhde "
"neutral","beats audio will zusammenarbeit mit htc beenden "
"neutral","band i und band ii nun endlich wieder zusammenpassend   animexx  weblog"
"negative","aber dieses jahr mchte ich in einem groen wald pilze sammeln immer kommt was dazwischen "
"positive","welch friedlicher kreuzzug   ehrlichewahl"
"neutral","pannobile highlights renner preisinger heinrich "
"positive"," voll s "
"neutral","einbrecher gefasst "
"negative"," unmglich isser "
"neutral","news one direction top young rich list "
"positive","kwam het toch nog goed wint rookie cuprace silverstone wint european junior cuprace op nrburgring klasse  "
"positive","wieder kleine die groen waren zu gro "
"positive","what was the last book you read  von napoleon lernen wie man sich vorm abwaschen drckt its pretty funny "
"positive","  pokmon  rules d  gefunden  auf  sun  eben  wieder  entdeckt  memories  so  cool  los  dragoran   instacool "
"neutral"," ausgeglichen"
"neutral","auftaktsieg gegen gladbach elegant war nur guardiolas einstecktuch  auftaktsieg  nachrichten  n"
"neutral","statt am report weiter zu schreiben mit anderen sachen beschftigen kann ich war aber wichtiger freundschaften und so "
"positive"," heier scheiss "
"negative","wat ne kacke wenn man zum termin ldt muss man ja auch wat erzhlen d"
"neutral"," pls ff bk"
"neutral","motiviert erstickte speicherfigur"
"neutral","understanding the avon company a complete avon review "
"neutral"," bahnen reingezogen  koks"
"positive","twitter an  n jrk ri dki twitter nie mehr ausmachen  lllllloooooooooolll"
"positive","auswrtssieg  oberligist hammer spvg hat in sprockhvel gewonnen der treffer fiel spt "
"negative","neue strafe fr usrapper chris brown zu stunden sozialdienst verurteilt "
"negative","ach scheiss drauf dann eben nich"
"neutral","deutschlandreemtsmaentfhrer drach nach jahren haft frei "
"neutral","standartdsatz bei allen familienfesten etc ich mchte kein alkohol danke "
"neutral","stephanie allen internet andor privacy  huffington post"
"neutral"," neue challenge gegen ted  "
"neutral"," die machen sich ber deinen glauben lustig  "
"positive","gdmonday "
"neutral","wer die motivation vernachlssigt vergeudet arbeitskraft h j quadbeck deutscher chemiker "
"neutral","  islamisten terrorisieren liberale  assadgegner stern de  politik "
"neutral","  mahlzeit  vanille  eis  streusel  bunt "
"positive","drauen grau amp regnerisch perfekt fr folgen shopping queen "
"positive","er redet byrisch o ich lach mir den arsch weg d"
"neutral"," antwort mit ja oder nein reicht "
"neutral","guten morgen aus mnchen "
"neutral"," gut so wir mssen uns erholen bis morgen "
"negative"," wut  i dont understand "
"positive","ich so aufm sofa vor dem fernseher go gladbach go gladbach go gladbach  "
"neutral","dj hochzeit rgen buchen bei fischer spezial "
"neutral","due alte tradition sonntag nach  wacken frhstck bei burger king in itzehoe "
"neutral","zeitspiel   zeitspiel  jenniferrostock  jenniferweist  spack  festival   sfoa  neuersong "
"neutral"," mehrere lebensversicherungen knnen ihren kunden offenbar nicht die versprochenen ertrge zahlen "
"positive"," sieht aber gut aus"
"neutral"," israel erhht siedlungssubventionen  israel  nahost  gefangene"
"positive","unglaublich was fr ein spiel   faklive  dranglauben"
"neutral","mein partner mit der kalten mhre  grnenfilme"
"neutral","der postillon unscharfes foto zeigt angeblich kamera mit der neues iphone s fotografiert wurde "
"neutral"," beide themenkomplexe beraus groe globale herausforderungen"
"neutral","einfach nicht unterbrechen lassen  tvduell"
"negative","schlecht schlechter  evz"
"positive"," auch eine schoene dienstag fur dich "
"neutral","trotz aus im bundestag fdpstaatssekretre bekommen weiter gehalt "
"positive","an alle muslime glckwnsche des papstes zum ende des ramadan "
"neutral","gratis jeden monat spannende infos rund um franklinmethode erhalten abonniert unseren newsletter "
"positive"," understandable"
"negative"," schule nach diesem wochenende einfach keine lust "
"neutral"," ja bitte schafft zwei drei viele svejks  vietnam"
"neutral"," naaaaaa te creo ich glaube nicht "
"neutral","  grobritannien hchststand arbeitslosigkeit einfhrung  mindestlohn arbeitslosenquote "
"neutral","mein tv tipp aus der neuen tv movie app mittwoch september ard mnchen tolle serie "
"neutral","rstungswettlauf google schraubt interne verschlsselung gegen nsa hoch "
"neutral","roundup griechenland bentigt laut spd hohen zweistelligen milliardenbetrag aktiencheck presse  winewgoode"
"neutral","achtung berliner senat erarbeitet jetzt stellungnahme zum  volksentscheid energietisch"
"positive","pffff x d niedlichste massenbegegnung ever xd  pokemonxy"
"neutral"," mit captain typekit externe schriften in wordpress nutzen  wordpress"
"neutral"," man stellt kluge personen ein brillante menschen bringen dir probleme  snowden  nsa  prism "
"neutral","  berlin zwei festnahmen bei razzia friedliche demonstration "
"positive"," guten morgan meine schne knstler anfang gut ende gut fur montag  keepmezup"
"neutral","test iglo floppt frosta toppt bei rckverfolgung  mehr unter "
"neutral","neue  griechenlandhilfen knnten laut eukommissar oettinger im kleinen zweistelligen milliardenbereich liegen nd"
"positive","huzur kumsalda beach bar "
"neutral","  alps  adria  alpeadria  sterreich  austria  train  eurotrip  nature  bb villach hauptbahnhof "
"neutral","tmobile usa mchte noch mehr apple ins sortiment nehmen nach der erfolgreichen integration des iphones ins p "
"neutral","braunschweig leiht karim bellarabi aus "
"negative","brse frankfurt usgeldpolitik macht dem dax zu schaffen  geld  finanzen"
"neutral"," rechte parteien kndigen demomarathon an  mahe  rechtsextremismus  rassismus  npd  prod"
"neutral"," oo derek lsst stiles un cora allein fr jennifer   "
"neutral","iphone tv tablet blitzangebote bei "
"neutral","alle hassen chris schauenlt "
"neutral","briefmarken sind sexy  eine briefmarkensammlung extrem sexy  "
"neutral"," hallo ihr bibliothekare schaut euch doch mal bitte das hier an und beteiligt euch danke  "
"neutral","  telecomitalia chef geht groe reorganisation geplant "
"negative","vielen dank liebe grnen dass die einzelfahrscheine schon wieder teurer geworden sind schn langsam wirds pervers o o"
"neutral","suche boomerang antenne fr cb funk hagen westfalen suche eine boomerang antenne fr cb funk wenn mglich "
"negative","kein greek jogurt mehr da gibts halt cheerios mit ekelschmecktberhauptnichtnachmilch bah"
"neutral"," geh arbeiten "
"negative"," speed on gibbet nicht wegen lte besonders schade "
"negative","meine ganzen runtastic apps wurden nicht wiederhergestellt   "
"negative","tod des geliebten haustiers trauerratgeber von eltern fr eltern von alfred f via "
"neutral","samsung will kunden knftig zum kauf seines originalzubehrs zwingen  samsung  zubehr"
"neutral","was passiert jetzt mit tim w  die neuen leiden des tim  wiese   trainingsgruppe  tsg"
"neutral","archologearchologin schwerpunkt ausstellungswesen generaldirektion kulturelles erbe rheinlandpfalz "
"neutral","max neuchrist hat mit dominic thiem nach dessen unglaublichen viertelfinale gegen jowilfried tsonga in der "
"negative"," tweets und ich bin immer noch kein stck schlauer geworden"
"neutral","never mention oben zwerg unten mag platzzuweisungen "
"negative"," oha voci schlimm han det immer aschiss zum lerne"
"neutral","neu neuss sperrung schulstrae "
"negative","  understatement sein goldenes iphone in ne silberne hlle packen "
"neutral","alka seltzer roy lichtenstein "
"negative"," au ja der war unglcklich gekrzt  tat"
"neutral","bgh unverlangt versandte empfehlungsemails gleichen unverlangt versandten werbeemails "
"negative","allein verngstigt freunde abgereist freund auf "
"neutral","saisonerffnung frisch auf  gppingen deutet gegen celje sein potential an mnner bundesliga  handball"
"negative"," apfelbume sind scheisse  absolute looser "
"positive"," haste kaputt gefahren wa  p"
"neutral"," solar  eigenverbrauch kwh  solar"
"positive"," umm shoot ummm  dugmyowngrave lol "
"neutral","fehlerhafte fehlermeldung  klassiker"
"neutral"," vom schulschwnzer zum unternehmer interessante studie aus schweden "
"neutral","illegale waffenwerkstatt ausgehoben mann machte dekowaffen scharf  panorama"
"neutral"," kneten drcken reiben mit lau warmen baby l"
"neutral","digital  zahlen scheinen  springer recht zu geben "
"negative","  wutbrger  studie zeigt  misstrauensgesellschaft groes misstrauen gegen  politik  parteien  parlamenten "
"negative"," ich erwarte gar nix mehr vom "
"neutral","angie hat heute aber ganz schn bse blicke drauf  tvduell"
"neutral","bahnchaos gefhrdet der personalnotstand unsere sicherheit  "
"neutral"," jahrzehnte andauern wrde "
"neutral","nicht wundern ich singe gerade einen schlager von matthias reim normal d"
"neutral"," eigentlich msste man sich alle accounts sichern die noch nicht belegt sind "
"negative"," hrt sich voll traurig an"
"neutral","wie sie sich bei extremen wetterlagen schtzen knnen  wetter  sturm  verhaltensweisen  vorsorge"
"neutral","support mama patti und roman am beim bochumer musiksommer "
"neutral","  orf heute konkret  sat nano  einsfestival nichts als rger mit den mnnern  n n cassini  nickcc cosmo amp wanda"
"neutral","lumen und watt machen alleine nicht satt wie finde ich die richtige  ledlampe  "
"positive"," okay das ist ein guter vorschlag leg mich jetzt wieder hin x x x"
"neutral","gedanken zur personalauswahl warum brche die neuen geraden werden mssen "
"neutral","neu eingetroffen decke sylt hirsch graubraun decke sylt hirsch graubraun rustikale kuscheldecke von "
"positive"," echt so   daumen drcken   "
"neutral"," ussnger jon bon jovi fhrt fan zum traualtar "
"neutral","arminia bielefeld keine schnelle entscheidung bei kwame nsor abgnge weiterhin als voraussetzung fr den tr "
"neutral","dj hochzeit rgen buchen bei fischer spezial musik fr hochzeit auf rgen buchen bei dj hochzeit rgendj "
"negative","gehe nachher schn zum training weil habe angst vorm anschiss meines trainers"
"neutral","  tipico  soccer tipico de news van marwijk schaut nicht auf namen "
"negative"," ach sei leise "
"positive"," gut befragt erkenntnisgewinn trotzdem imho falscher gesprchspartner "
"neutral","fraktion die linke macht sich fr bedrohte suppenkche im stadtteil dulsberg stark  hamburg  dulsberg  linke"
"positive"," ich brauch bisschen abwechslung "
"neutral","  herbst  winter tuning fr gibbs "
"neutral","achtung wahlkampf  vorsicht satire  "
"neutral","unser kleines gewinnspiel im letzten  blindzelnmagazin war brigens ein toller erfolg toll dass so viele mitgemacht haben "
"neutral"," gerechtere kostenverteilung bedeutet aber dass ausnahmen fr die industrie gekippt werden oder  "
"neutral"," interessant ich muss unbedingt zur prinzenstrae  "
"neutral","congokinshasa govt forces seize last major rebel base deutsche wellecongolese officials say government "
"neutral"," zurckholen was geht  "
"neutral","champions league milan setzt sich gegen psv durch zwei tore von kevinprince boateng minute "
"neutral","twitter schickt mir vorschlge basierend auf und paul scharner was dabei wohl rauskommt  "
"negative","hersey guzel giderken aniden mahvetme gibi bir ozellige sahibim "
"neutral","technische fragen amp probleme das hilfeforum re lenkung geht sehr schwer autor powerofdreams verfas "
"positive","  museum  planes  redbull  friedrichshafen  nice  cool  good  fast  speed dornier museum "
"neutral","ich geh gleich ins bett dann knnt ihr in meinen trumen rumspucken "
"positive"," poster ses undso du brauchst doch sachen fr dein zimmer "
"neutral","eierkuchencontent  lasttweet"
"neutral","stdtebundchef bundesregierung muss kommunen um milliarden euro entlasten "
"neutral","  bergstrae flchtiger stellt sich heppenheim  bensheim"
"neutral"," nein das zhlt nicht  weil er zum zeitpunkt der deadline einen verein hatte "
"neutral"," ablehnung der wirtschaftsfaschistischen eu bedeutet nicht ablehnung europas  "
"positive","omfg die sexy hipsterfrau aus meiner klasse cosplayt omfg ich liebe meine klasse"
"neutral","begrenzte lebensdauer serienmig "
"neutral"," zeitung sterreich admira feuert polster "
"neutral","stimulation kitsch passion samsung x yellow wjg "
"neutral","kleinanzeigen original bmw felgen vom er e zoll in hamburg verkaufe hier satz o kaufen ber markt d"
"neutral","vorsicht freilaufendes opfer "
"neutral","ayo neuer martinez lahm schweinsteiger   "
"neutral","grobritannien wirtschaft wchst strker als zunchst angenommen ariva  wirtschaft"
"positive","  heidiklumbittegreonedirectionvondeutschendirectionern bitte bitte das wre so geil  "
"neutral","  tennis neu im programm ran de bertrgt heute um hh wtahalbfinale aus washington andrea petkovic gg alize cornet"
"positive"," especially because it was in german danke schnes mdchen"
"neutral","wer ans licht will kommt um seine schatten nicht herum e e b "
"neutral","unglaubliche tote zugvgel jedes jahr   deutschland"
"positive","klasse bung "
"neutral"," getan alles mutmaungen z b weie fremdherrschaft ermglichte autoritre systeme oder cont "
"neutral"," che  cosa  "
"neutral","wegen hoher produktivitt porsche will wochenarbeitszeit senken mach mal pause  porsche will laut automobil "
"negative","lol htc baut sein eigenes mobiles os ngel bitte  "
"positive","venus award und mein stern aileen taylor hat natrlich abgerumt "
"neutral","nsaskandal internetnutzer surfen vorsichtiger durchs netz "
"neutral"," the voice in uk kriegt ne neue moderatorin schon gehrt  "
"negative"," die htten sicher wenig freude an mir dafr bin ich einfach zu schlecht "
"negative"," uuffffff"
"neutral"," lachte eben laut darber lt"
"positive"," achso  erfolgsaufsichtsratschef wowereit feuert  bertechnikchef ammann erfolgsmanager mehdorn db ag air berlin baut "
"neutral"," aufwandsentschdigung zuzglich fahrtkostenerstattung  wir suchen sie  diabetiker bzw menschen mit erhhten blutzuckerwerten "
"neutral","gopro hero vorgestellt kleiner mehr weitwinkel hhere akkulaufzeit "
"negative","bdw hab dir grade fragen hintereinander gestellt p fragen sind immer gut weiter so  ich bin nicht so de "
"neutral","fahrer kritisieren silverstone  motogp "
"neutral"," dinge die ihr webhoster knnen muss  webhosting  wordpress"
"negative","was han ich echt jetzt verbroche      fface"
"neutral","so sieht das also aus  rbleipzig  leipzig  redbull  rasenball red bull arena "
"neutral","smartphone samsung galaxy s iii mini ohne vertrag ohne simlook neu "
"neutral","  vishay vishays optische sensoren erzielen niedrigeren stromverbrauch "
"negative","the original bitte  offline wegen internet sparen ka wieviel mb schon weg sind total schwarz "
"neutral"," hab meinen augen nicht trauen knnen respektlos "
"positive"," du hast heute lust besonders viel geld fr durchschnittlichen kaffee auszugeben   starbucks"
"neutral","gewinnt den ultimativen adrenalinkick kunstflug rennwagen romantik  reise"
"positive","  glee was amazing tonight"
"neutral","  newbie re ein herzliches hallo aus dem rhein sieg kreis  ducati  sbk"
"neutral","berwachung abrsten datenschutz strken whistleblower schtzen  "
"positive"," sofia lt"
"negative"," wieso sollten man leute fr dummheit belohnen  "
"neutral","spiegel mobil fdp droht verfahren wegen illegaler parteienfinanzierung "
"negative"," sry kein bock mir extra dafr noch ne neue email addy zu basteln "
"positive","ihr mchtet auch ins musikbusiness einsteigen  tape tv sucht aktuell verstrkung nette kollegen garantiert "
"neutral"," neue verfahren ermittlungen gegen ehemalige kzaufseher   nachrichten  n"
"neutral","polcoe dlmen k dlmener stand auch unter drogeneinflu "
"positive","stell dir vor sterreich msste bei der wm gegen brasilien spielen  wir lachen uns tot "
"neutral","wer ersetzt stahl  nach dem intensiven pokalduell beim fc heidenheim i e stand bei mnchen in "
"negative"," biological parents cause depression"
"positive"," liebe gre an jemanden d und macht nicht zu dolle d"
"positive"," hehehhe greit vennen "
"neutral","viele  chinesen lieben nicht nur mrchen sondern auch den  rattenfnger von  hameln "
"neutral","  whatsapp rechtliche schritte gegen softwaremod whatsapp "
"neutral","den rest von was robert heinrich i halt brig gelassen hat bei  wirsindkaiser gesehen zurck zum  rosenkavalier  "
"neutral","klischee erfllt  btk "
"positive"," sexy"
"neutral","bundesliga dank medienmonopol einsam statt gemeinsam via "
"positive","whoops endlich bestellt "
"negative","da liegt nen arm von einen der affen o o da scheint wohl noch was schlimmeres rumzurennen o o  afterearth"
"neutral","herzliche glckwnsche aus zeulenroda an den fc carl zeiss jena zu dem berzeugenden auftritt gestern gegen den "
"negative"," faschistoid  oh mann sie mssen echt ihr politisches emprungsempfinden justieren "
"positive","nachrichten mssen spa machen will ferrell und harrison ford im neuen trailer zu anchorman "
"positive","unsre ard die hats einfach drauf  wir sollten mehr rundfunkgebhr zahlen  "
"neutral","tritt bei sonic dash gegen mich an   sonicdashmmm "
"neutral","  entwicklungsland  schweiz  laut grafik punkto  datengeschwindigkeit deutlich unter oecdschnitt via "
"positive"," maybe were just already high strung people so caffeine makes us crash lol"
"negative"," trotzdem  schmerz immer unangenehm  "
"neutral","eplayer trotz pokalaus braunschweig gibt sich gelassen kanal bundesliga"
"neutral","repost neuer alg iiweiterbewilligungsantrag verstt gegen bundesdatenschutzgesetz "
"neutral"," ausverkauf bildung dieses foto aus der neuen wu find sogar ich ein bisschen heftig via "
"neutral","peinliche geschichte bei einer predigt "
"neutral"," gercht autonome nationalisten nw in lichtenberg richtung hellersdorf unterwegs  mahe"
"neutral","die grten feinde der demokratie sind zufriedene sklaven "
"neutral","diese tat macht ihm wenig ehre "
"neutral"," is ziemlich schlicht amp halt ne rhrenjeans also denk ich mal es wird kein problem geben auer ich zieh n neongelbes top was ich"
"neutral","htc stellte zwei neue smartphones der desirefamilie vor davon erscheint vorerst jedoch nur eins hier in "
"positive","aduh amo aku lupa lg sama bahasa jerman ich hoffe du hast einen schnen tag ismiderara guten morgen "
"positive"," mir war eher soras route wichtig xd"
"neutral"," als was muss man sich eigentlich bewerben um den ganzen tag nur zeitungen lesen zu knnen  "
"positive","wow sitzpltze wahnsinn"
"neutral","nach dem lob von trainer jos luhukay fand nun auch alexander baumjohann lobende worte fr den brasilianer "
"neutral","heftiges pvpgefecht in immortalis bis uhr  wir brauchen jeden fhigen kmpfer   immortalis "
"neutral"," was wohl michelle obama dazu sagt  "
"neutral","office benutzer vorzeitig auf die neue version umstellen "
"neutral"," muslime feiern in moskau ende des fastenmonats gtgtgt "
"neutral"," wer twittert hier  "
"neutral","new ios app arm oder reich der schweizer lohnrechner swift management ag genre  lifestyle "
"neutral","internetkennzahlen teil amp  twitter follower "
"negative"," der thies haut sich die knie wund "
"neutral"," man sollte logorrhoe dem herren zu ehre in bartotitis umbenennen d"
"neutral","frher war alles besser darauf wirds wohl hinauslaufen"
"neutral","tempelhofschneberg expiratin wanda preuker wechselt zur berliner cdu "
"positive"," sasa cynthia hong jasmin und ich wrden auf jeden fall kommen nicht wahr sasa  "
"neutral","viel spa bei minuten stehen ihr ob aluhte wirken oder nicht an einer tastatur wir instant da "
"neutral","premium audio marken shop elektronik amp foto online bei amazon de einkaufen via "
"positive"," immer das gleiche "
"positive"," franz na gut in deutschland leider viel zu unbekanntunbeliebt trotz dieses tollen namens p aber thees  o"
"neutral","check out die gute alte zeit by jimi weissleder "
"neutral","wer nach einem gnstigen zubehr set fr sein samsung galaxy s mini sucht kann vielleicht hiermit was anfangen gt "
"neutral"," putzkbel in die hand kunstschwei ins gesicht gesprht kinder zum weinen animieren computer aus mann kommt heim  "
"positive","verfluchte scheie geil"
"positive","jesse eisenberg   "
"neutral","projekterfolg wiesnerhager stattet europaweit neue skoda schaurume aus  apa  ots  bot"
"neutral","richard lugner richard lugner macht mit kolibri die salzburger festspiele unsicher "
"positive","north shore ride seid ruhig neidisch "
"positive","da war die monia aber fleiig danke  instagrampower  liebemenschen  ilike  iloveit "
"neutral"," die kommt gerade bei uns an "
"positive","lache immer noch weil ashley cole ashley heit "
"neutral"," der krbis kann aber schnell rollen  "
"neutral","meine haare heute nach dem aufstehen so guck mal wir knnen prima abstehen    "
"neutral","lets play together mc season  hddeblind kein gutes loot ber "
"neutral"," aufzwingen wollen "
"neutral","instantphilosophie oder was aus pandoras bchse kam angeregt v "
"positive","no woman no drive  groartige satire aus saudiarabien  "
"neutral","apartment los gigantes auf teneriffa  ferienwohnungen  kostenlose  kleinanzeigen das appartment hat eine wohn "
"negative","liebe ach schei drauf leben ach schei drauf lachen jez bertreibste aber "
"negative"," passend zum schulanfang ii sprachprobleme bei idtzchen knnen fr probleme beim weiteren bildungsweg sorgen "
"negative"," jede nacht aufs neue einsam im bett "
"neutral"," das kind ber den noch nicht erffneten freimarkt fhren bei jedem karussell schade auch kaputt murmeln und ne cola"
"positive"," war heute uerst geil  "
"neutral"," die lauscher verstecken sich hinter dem rand der erdenscheibe mgen ihnen eselsohren wachsen "
"neutral","diabetes tagebuch blutzucker richtig  diabetes  dblogs"
"neutral","blaualgenalarm  wer grnlichblauen schimmer auf gewssern entdeckt lsst seinen hund besser nicht darin "
"negative","umm zullyann hates me im gunna die now "
"negative","merkel und energiewende passen leider nicht zusammen  tvduell"
"neutral","programmstart e wie einfach mobilfunk affiliate marketing affiliateblog de e wie einfach ist mit einem ne "
"positive"," an mit rein durfte d bzw eigentlich pennte er ja im sessel als ich ins bad schlich d d na ja nun bin ich wieder wach "
"neutral","hab hungerrrrr  och komm  habe irgendwie bock auf bf lust  "
"neutral"," wat  christian lindner zur nsaaffre der staat muss den datenmarkt strker regulieren "
"negative","hoffnungslos verlegen "
"positive"," gemeinsam erfolgreich    btw  cdu  merkelintrier "
"positive","ihm gings gut er w ar zufrieden doch er w ollte kein berliner sein"
"neutral"," klaus eck erfolgreiches online reputation management via "
"neutral","touchcomputer tc motorola solutions prsentiert businesssmartphone frs grobe  tc  smartphone "
"neutral","  liebe sich verlieben ein missverstndnis   "
"negative"," garantiert nicht "
"positive","ik ga douchen tot straks lieve schatten "
"neutral","sterreich umfangreiche frequenzversteigerung abgeschlossen "
"neutral","aufgabe s freunde abgeschlossen  android  androidgames  gameinsight"
"neutral"," heute ca interview mit zum thema berwachung und der veranstaltung freiheit statt angst bei radio blau "
"neutral"," heute hatten wir auch grad extrem heiss neuer garten  sounds good  "
"neutral","  maxfleischer  cartoons "
"neutral"," starkes polizeiaufgebot riegelt die unbersichtliche gegend ab  mahe"
"neutral","gratis web cam sex die pussies der blondines wollen diesen geilen riesenschwanz "
"neutral"," schwere leichtigkeit"
"negative","hssliche wahrheit "
"positive","der  kalorien und gramm  eiwei gute nacht snack wre auch unten "
"positive","sarah ha aber wenigstens seine nase is hbsch ne  d "
"negative"," ohh sehr teuer "
"neutral"," wenn helden  rechnungen schreiben die berichten heute im billomatmagazin von ihrer arbeit "
"neutral","angebot carrera jeans kurze trgerhose cogoleto wei sportliche kurze trgerhose des legendren kultteams "
"positive","ground zero muss auch cool sein"
"neutral","l spohr beruhigung du armes herz peter schreier tenor konrad ragossnig guitar "
"neutral","ich geh jetzt in den wald mir einen ast lachen "
"positive"," stiegl ganz klar aber ich mag auch viele andere die weie trumer pils ups lauter salzburger naja hirter zb auch "
"neutral"," neues zur bombe in ddjohannstadt ab nachmittag evakuierung im umkreis von metern ab uhr straensperrungen http"
"negative"," schade echten schlssel reich"
"positive","nachti nachti schlaft schn "
"negative","mein cousin gerade mal jahr kommt mir entgegen gelaufen als ich in die tr gekommen bin und weint als ich wieder gegangen bin oh nein "
"negative","wow  welch luxus heute erst stunden durch gearbeitet "
"positive"," wahre worte  "
"positive","bless him  charles  swagfag  hypejks  bareindie  crease  natural  selfie "
"negative","diese grind on me vines sind nicht geil  fakt"
"positive"," punkrock de la flte de block  klingt doch gut oder nicht  "
"neutral","polre recklinghausen tter berauben jhrige "
"neutral","lustlager die zweite bitte  hchst spannend hchst kulinarisch hchst barock "
"neutral"," natrlich bekomme ich so einen gegenstand auf steam gtlt"
"neutral","rizzoli amp isles tnt hlt nach tod von lee thompson young dreharbeiten an "
"neutral"," einfaches spiel fr die jungs  catch the millionaire alle hemmungen ber bord "
"positive","op verschoben danke lieber gott "
"negative","ich wei gar nicht was heute eigentlich so lustig ist "
"neutral"," very british heisst nicht zwangslufig ganz gut aber ganz gut und very british ist eine tolle kombi "
"neutral","heidelberg itsupport specialist mw qualifizierte untersttzung bei technischen problemen i "
"neutral","polrow nicht um totes reh gekmmert "
"neutral","ich sammelte ein  kannst du das besser   ipad  ipadgames  gameinsight"
